Name,Description,Category,Price,Quantity,Discount
Adjustable Chair , Ergonomic chair with adjustable height and lumbar support. , Office Furniture ,1499.9,10,20
Blue Gel Pen , Smooth-writing gel pen with blue ink. , Office Supplies ,249,100,5
Calendar Planner , Annual planner with monthly and weekly views. , Stationery ,1299,40,15
Classic Notebook ," A high-quality, hardcover notebook with 200 pages. ", Stationery ,1599,0,0
Coffee Mug , Ceramic coffee mug with custom logo. , Drinkware ,899,100,55
Desk Lamp , LED desk lamp with adjustable brightness settings. , Office Furniture ,3999,25,10.5
Desk Organizer , Elegant desk organizer with compartments for pens and papers. , Office Furniture ,24.99,0,15
Leather Briefcase , Durable leather briefcase with multiple compartments. , Bags ,8999,20,10
Mouse Pad , Ergonomic mouse pad with wrist support. , Office Supplies ,999,60,0
Printer Ink Cartridge , High-yield black ink cartridge compatible with most printers. , Office Supplies ,1999,1,4.5
